variable,code,label,source_year
qh13a6b,1,Si,2013
qh13a6b,2,No,2013
qh13a6b,8,No sabe,2013
qh13a6c,1,Si,2013
qh13a6c,2,No,2013
qh13a6c,8,No sabe,2013
qh13a6d,1,Si,2013
qh13a6d,2,No,2013
qh13a6d,8,No sabe,2013
qh21a,1,Si,2024
qh21a,2,No,2024
qh21b,1,Si,2013
qh21b,2,No,2013
qh21b,8,No sabe,2013
qh227a,1,El funcionario de la encuesta,2024
qh227a,2,El informante,2024
qh227b,1,Grifo o caño,2024
qh227b,2,Cilindro de metal,2024
qh227b,3,Balde o batea de plástico,2024
qh227b,4,Tanque (sin filtro),2024
qh227b,5,Tanque (con filtro),2024
qh227b,7,Otro,2024
qh25b,1,Si,2024
qh25b,2,No,2024
qh30m,1,Hombre,2024
qh30m,2,Mujer,2024
qh32m_m,1,Enero,2024
qh32m_m,10,Octubre,2024
qh32m_m,11,Noviembre,2024
qh32m_m,12,Diciembre,2024
qh32m_m,2,Febrero,2024
qh32m_m,3,Marzo,2024
qh32m_m,4,Abril,2024
qh32m_m,5,Mayo,2024
qh32m_m,6,Junio,2024
qh32m_m,7,Julio,2024
qh32m_m,8,Agosto,2024
qh32m_m,9,Setiembre,2024
qh32m_m,97,No sabe,2024
qh33m,1,Embarazo,2024
qh33m,2,Parto,2024
qh33m,3,Sobreparto,2024
qh33m,4,Otra causa,2024
qh90,1,Si / muestra acdo. compromiso,2013
qh90,2,Si / no muestra acdo. compromiso,2013
qh90,3,No,2013
qh90,8,No sabe,2013
qh91,1,Si,2024
qh91,2,No,2024
qh91,3,No Sabe/ No Recuerda,2024
qh91m,1,Enero,2013
qh91m,10,Octubre,2013
qh91m,11,Noviembre,2013
qh91m,12,Diciembre,2013
qh91m,2,Febrero,2013
qh91m,3,Marzo,2013
qh91m,4,Abril,2013
qh91m,5,Mayo,2013
qh91m,6,Junio,2013
qh91m,7,Julio,2013
qh91m,8,Agosto,2013
qh91m,9,Septiembre,2013
qh93,1,Si,2024
qh93,2,No,2024
qh93,3,No Sabe/ No Recuerda,2024
qh94ab,1,Si,2013
qh94ab,2,No,2013
qh94b,0,Nadie más,2013
qh94bb,1,Si,2013
qh94bb,2,No,2013
qh94c,0,Nadie más,2013
qh94cb,1,Si,2013
qh94cb,2,No,2013
qh94d,0,Nadie más,2013
qh95,1,Si,2024
qh95,2,No,2024
qh95,3,No Sabe/ No Recuerda,2024
qh96a,98,No Sabe,2024
qh96ac,1,Si y muestra el acuerdo de compromisos,2024
qh96ac,2,Si y no muestra el acuerdo de compromisos,2024
qh96m,98,No Sabe,2024
qh97a,9998,No sabe,2024
qh97d,98,No Sabe,2024
qh97m,1,Enero,2024
qh97m,10,Octubre,2024
qh97m,11,Noviembre,2024
qh97m,12,Diciembre,2024
qh97m,2,Febrero,2024
qh97m,3,Marzo,2024
qh97m,4,Abril,2024
qh97m,5,Mayo,2024
qh97m,6,Junio,2024
qh97m,7,Julio,2024
qh97m,8,Agosto,2024
qh97m,9,Septiembre,2024
qh97m,98,No sabe,2024
qh99,1,Si,2024
qh99,2,No,2024
qh99,3,No Sabe/ No Recuerda,2024
qi1003an,1,Mucha frecuencia,2024
qi1003an,2,Algunas veces,2024
qi1003an,3,Nunca,2024
qi1003bn,1,Mucha frecuencia,2024
qi1003bn,2,Algunas veces,2024
qi1003bn,3,Nunca,2024
qi1003cn,1,Mucha frecuencia,2024
qi1003cn,2,Algunas veces,2024
qi1003cn,3,Nunca,2024
qi1003dn,1,Mucha frecuencia,2024
qi1003dn,2,Algunas veces,2024
qi1003dn,3,Nunca,2024
qi1003en,1,Mucha frecuencia,2024
qi1003en,2,Algunas veces,2024
qi1003en,3,Nunca,2024
qi1003fn,1,Mucha frecuencia,2024
qi1003fn,2,Algunas veces,2024
qi1003fn,3,Nunca,2024
qi1014_an,1,Mucha frecuencia,2024
qi1014_an,2,Algunas veces,2024
qi1014_an,3,Nunca,2024
qi1014_bn,1,Mucha frecuencia,2024
qi1014_bn,2,Algunas veces,2024
qi1014_bn,3,Nunca,2024
qi1014_cn,1,Mucha frecuencia,2024
qi1014_cn,2,Algunas veces,2024
qi1014_cn,3,Nunca,2024
qi1014_dn,1,Mucha frecuencia,2024
qi1014_dn,2,Algunas veces,2024
qi1014_dn,3,Nunca,2024
qi1014_en,1,Mucha frecuencia,2024
qi1014_en,2,Algunas veces,2024
qi1014_en,3,Nunca,2024
qi1014_fn,1,Mucha frecuencia,2024
qi1014_fn,2,Algunas veces,2024
qi1014_fn,3,Nunca,2024
qi1014_gn,1,Mucha frecuencia,2024
qi1014_gn,2,Algunas veces,2024
qi1014_gn,3,Nunca,2024
qi1014_hn,1,Mucha frecuencia,2024
qi1014_hn,2,Algunas veces,2024
qi1014_hn,3,Nunca,2024
qi1014_in,1,Mucha frecuencia,2024
qi1014_in,2,Algunas veces,2024
qi1014_in,3,Nunca,2024
qi1014_jn,1,Mucha frecuencia,2024
qi1014_jn,2,Algunas veces,2024
qi1014_jn,3,Nunca,2024
qi1014_kn,1,Mucha frecuencia,2024
qi1014_kn,2,Algunas veces,2024
qi1014_kn,3,Nunca,2024
qi1014_ln,1,Mucha frecuencia,2024
qi1014_ln,2,Algunas veces,2024
qi1014_ln,3,Nunca,2024
qi1014_mn,1,Mucha frecuencia,2024
qi1014_mn,2,Algunas veces,2024
qi1014_mn,3,Nunca,2024
qi1014_nn,1,Mucha frecuencia,2024
qi1014_nn,2,Algunas veces,2024
qi1014_nn,3,Nunca,2024
qi1014_on,1,Mucha frecuencia,2024
qi1014_on,2,Algunas veces,2024
qi1014_on,3,Nunca,2024
qi1014_pn,1,Mucha frecuencia,2024
qi1014_pn,2,Algunas veces,2024
qi1014_pn,3,Nunca,2024
qi1014_qn,1,Mucha frecuencia,2024
qi1014_qn,2,Algunas veces,2024
qi1014_qn,3,Nunca,2024
qi1014_rn,1,Mucha frecuencia,2024
qi1014_rn,2,Algunas veces,2024
qi1014_rn,3,Nunca,2024
qi1014_sn,1,Mucha frecuencia,2024
qi1014_sn,2,Algunas veces,2024
qi1014_sn,3,Nunca,2024
qi1014_tn,1,Mucha frecuencia,2024
qi1014_tn,2,Algunas veces,2024
qi1014_tn,3,Nunca,2024
qi1014_xn,1,Mucha frecuencia,2024
qi1014_xn,2,Algunas veces,2024
qi1014_xn,3,Nunca,2024
qi1020_an,1,Mucha frecuencia,2024
qi1020_an,2,Algunas veces,2024
qi1020_an,3,Nunca,2024
qi1020_bn,1,Mucha frecuencia,2024
qi1020_bn,2,Algunas veces,2024
qi1020_bn,3,Nunca,2024
qi1020_cn,1,Mucha frecuencia,2024
qi1020_cn,2,Algunas veces,2024
qi1020_cn,3,Nunca,2024
qi1020_dn,1,Mucha frecuencia,2024
qi1020_dn,2,Algunas veces,2024
qi1020_dn,3,Nunca,2024
qi1020_en,1,Mucha frecuencia,2024
qi1020_en,2,Algunas veces,2024
qi1020_en,3,Nunca,2024
qi1020_fn,1,Mucha frecuencia,2024
qi1020_fn,2,Algunas veces,2024
qi1020_fn,3,Nunca,2024
qi1020_gn,1,Mucha frecuencia,2024
qi1020_gn,2,Algunas veces,2024
qi1020_gn,3,Nunca,2024
qi1020_hn,1,Mucha frecuencia,2024
qi1020_hn,2,Algunas veces,2024
qi1020_hn,3,Nunca,2024
qi1020_in,1,Mucha frecuencia,2024
qi1020_in,2,Algunas veces,2024
qi1020_in,3,Nunca,2024
qi1020_jn,1,Mucha frecuencia,2024
qi1020_jn,2,Algunas veces,2024
qi1020_jn,3,Nunca,2024
qi1020_kn,1,Mucha frecuencia,2024
qi1020_kn,2,Algunas veces,2024
qi1020_kn,3,Nunca,2024
qi1020_ln,1,Mucha frecuencia,2024
qi1020_ln,2,Algunas veces,2024
qi1020_ln,3,Nunca,2024
qi1020_mn,1,Mucha frecuencia,2024
qi1020_mn,2,Algunas veces,2024
qi1020_mn,3,Nunca,2024
qi1020_nn,1,Mucha frecuencia,2024
qi1020_nn,2,Algunas veces,2024
qi1020_nn,3,Nunca,2024
qi1020_on,1,Mucha frecuencia,2024
qi1020_on,2,Algunas veces,2024
qi1020_on,3,Nunca,2024
qi1020_pn,1,Mucha frecuencia,2024
qi1020_pn,2,Algunas veces,2024
qi1020_pn,3,Nunca,2024
qi1020_qn,1,Mucha frecuencia,2024
qi1020_qn,2,Algunas veces,2024
qi1020_qn,3,Nunca,2024
qi1020_rn,1,Mucha frecuencia,2024
qi1020_rn,2,Algunas veces,2024
qi1020_rn,3,Nunca,2024
qi1020_sn,1,Mucha frecuencia,2024
qi1020_sn,2,Algunas veces,2024
qi1020_sn,3,Nunca,2024
qi1020_tn,1,Mucha frecuencia,2024
qi1020_tn,2,Algunas veces,2024
qi1020_tn,3,Nunca,2024
qi1020_un,1,Mucha frecuencia,2024
qi1020_un,2,Algunas veces,2024
qi1020_un,3,Nunca,2024
qi1020_xn,1,Mucha frecuencia,2024
qi1020_xn,2,Algunas veces,2024
qi1020_xn,3,Nunca,2024
qi302_05a,1,Sí,2024
qi302_05a,2,No,2024
qi302_05b,1,Sí,2024
qi302_05b,2,No,2024
qi411_m,1,Si,2024
qi411_m,2,No,2024
qi411_m,8,No sabe,2024
qi411f,98,No sabe,2024
qi422a_a,1,SI,2024
qi422a_a,2,No,2024
qi422a_a,8,No sabe/No responde,2024
qi422a_b,1,SI,2024
qi422a_b,2,No,2024
qi422a_b,8,No sabe/No responde,2024
qi422a_c,1,SI,2024
qi422a_c,2,No,2024
qi422a_c,8,No sabe/No responde,2024
qi422a_d,1,SI,2024
qi422a_d,2,No,2024
qi422a_d,8,No sabe/No responde,2024
qi440b,1,Si,2024
qi440b,2,No,2024
qi440b,8,No sabe,2024
qi440b,96,Otro,2024
qi465ed_3m_a,1,Si,2019
qi465ed_3m_a,2,No,2019
qi465ed_3m_a,8,No sabe/No responde,2019
qi465ed_3m_b,1,Si,2019
qi465ed_3m_b,2,No,2019
qi465ed_3m_b,8,No sabe/No responde,2019
qi465ed_3m_c,1,Si,2019
qi465ed_3m_c,2,No,2019
qi465ed_3m_c,8,No sabe/No responde,2019
qi465ed_3m_d,1,Si,2019
qi465ed_3m_d,2,No,2019
qi465ed_3m_d,8,No sabe/No responde,2019
qi465ed_cc_a,1,Si,2024
qi465ed_cc_a,2,No,2024
qi465ed_cc_a,8,No sabe/No recuerda,2024
qi465ed_cc_a1,1,Dias,2024
qi465ed_cc_a1,2,Meses,2024
qi465ed_cc_a1,8,No sabe/No recuerda,2024
qi465ed_cc_b,1,Si,2024
qi465ed_cc_b,2,No,2024
qi465ed_cc_b,8,No sabe/No recuerda,2024
qi465ed_cc_b1,1,Según carné,2024
qi465ed_cc_b1,2,Según recuerda,2024
qi465ed_cc_b1,8,No sabe/No recuerda,2024
qi465ed_cc_c,1,Si,2024
qi465ed_cc_c,2,No,2024
qi465ed_cc_c,8,No sabe/No recuerda,2024
qi465ed_cc_d,1,Si,2024
qi465ed_cc_d,2,No,2024
qi465ed_cc_d,8,No sabe/No recuerda,2024
qi478a,0,Vive con la madre/ no tiene discapacidad,2024
qi478a,1,No vive con la madre/ tiene discapacidad,2024
qi478e1,1,Levanta el tronco apoyándose en brazos y rodillas,2024
qi478e1,2,Se sientan sin apoyarse en objetos y sostiene la cabeza,2024
qi478e1,3,Se pone de pie agarrándose de algo,2024
qi478e1,4,Da unos pasos agarrándose de algo,2024
qi478e1,5,Se pone de pie sin agarrase de nada,2024
qi478e1,6,Camina sola/o con soltura,2024
qi478e1,8,No responde/No sabe,2024
qi478e10,1,Deja de hacer lo que está haciendo y la/lo atiende,2024
qi478e10,2,Primero Termina de hacer lo que está haciendo y luego la/lo atiende,2024
qi478e10,3,Le pide otra persona que la(o) atienda,2024
qi478e10,4,La (Lo) atiende aun cuando siga haciendo sus labores,2024
qi478e10,5,No la(o) atiende,2024
qi478e10,8,No responde/No sabe,2024
qi478e2,1,Si,2024
qi478e2,2,No,2024
qi478e2,8,No responde/No sabe,2024
qi478e3,1,Si,2024
qi478e3,2,No,2024
qi478e3,8,No responde/No sabe,2024
qi478e4,1,Si,2024
qi478e4,2,No,2024
qi478e4,8,No responde/No sabe,2024
qi478e5,1,Si,2024
qi478e5,2,No,2024
qi478e5,8,No responde/No sabe,2024
qi478e6,1,Si,2024
qi478e6,2,No,2024
qi478e6,8,No responde/No sabe,2024
qi478e7,1,Si,2024
qi478e7,2,No,2024
qi478e7,8,No responde/No sabe,2024
qi478e8,1,Si,2024
qi478e8,2,No,2024
qi478e8,8,No responde/No sabe,2024
qi478e9,1,Si,2024
qi478e9,2,No,2024
qi478e9,8,No responde/No sabe,2024
qi478f1,1,Se sienta sin apoyarse en objetos y sostiene la cabeza,2024
qi478f1,2,Se pone de pie agarrándose de algo,2024
qi478f1,3,Da unos pasos agarrándose de algo,2024
qi478f1,4,Se pone de pie sin agarrarse de nada,2024
qi478f1,5,Camina sola/o con soltura,2024
qi478f1,6,Se agacha al suelo y se vuelve a parar solo,2024
qi478f1,8,No responde/No sabe,2024
qi478f2_a,1,Si,2024
qi478f2_a,2,No,2024
qi478f2_a,8,No responde/No sabe,2024
qi478f2_b,1,Si,2024
qi478f2_b,2,No,2024
qi478f2_b,8,No responde/No sabe,2024
qi478f2_c,1,Si,2024
qi478f2_c,2,No,2024
qi478f2_c,8,No responde/No sabe,2024
qi478f2_d,1,Si,2024
qi478f2_d,2,No,2024
qi478f2_d,8,No responde/No sabe,2024
qi478f2_e,1,Si,2024
qi478f2_e,2,No,2024
qi478f2_e,8,No responde/No sabe,2024
qi478f3,1,Si,2024
qi478f3,2,No,2024
qi478f3,8,No responde/No sabe,2024
qi478f4,1,Si,2024
qi478f4,2,No,2024
qi478f4,8,No responde/No sabe,2024
qi478f5,1,Si,2024
qi478f5,2,No,2024
qi478f5,8,No responde/No sabe,2024
qi478f6,1,Si,2024
qi478f6,2,No,2024
qi478f6,8,No responde/No sabe,2024
qi478g1,1,Si,2024
qi478g1,2,No,2024
qi478g1,8,No responde/No sabe,2024
qi478g2_a,1,Si,2024
qi478g2_a,2,No,2024
qi478g2_a,8,No responde/No sabe,2024
qi478g2_b,1,Si,2024
qi478g2_b,2,No,2024
qi478g2_b,8,No responde/No sabe,2024
qi478g2_c,1,Si,2024
qi478g2_c,2,No,2024
qi478g2_c,8,No responde/No sabe,2024
qi478g3,1,Si,2024
qi478g3,2,No,2024
qi478g3,8,No responde/No sabe,2024
qi478g4,1,Si,2024
qi478g4,2,No,2024
qi478g4,8,No responde/No sabe,2024
qi478h1,1,Si,2024
qi478h1,2,No,2024
qi478h1,8,No responde/No sabe,2024
qi478h10,1,Si espera tranquilamente,2024
qi478h10,2,Si espera pero no tranquilamente,2024
qi478h10,3,No espera,2024
qi478h10,8,No responde/No sabe,2024
qi478h11,1,Si,2024
qi478h11,2,No,2024
qi478h11,8,No responde/No sabe,2024
qi478h12,1,Ninguna,2024
qi478h12,2,De 1 a 3 veces,2024
qi478h12,3,De 4 a 6 veces,2024
qi478h12,4,Más de 6 veces,2024
qi478h12,8,No responde/No sabe,2024
qi478h2,1,Si,2024
qi478h2,2,No,2024
qi478h2,8,No responde/No sabe,2024
qi478h3,1,Si,2024
qi478h3,2,No,2024
qi478h3,8,No responde/No sabe,2024
qi478h4,1,Si,2024
qi478h4,2,No,2024
qi478h4,8,No responde/No sabe,2024
qi478h5,1,Si,2024
qi478h5,2,No,2024
qi478h5,8,No responde/No sabe,2024
qi478h6,1,Si,2024
qi478h6,2,No,2024
qi478h6,8,No responde/No sabe,2024
qi478h7,1,Si,2024
qi478h7,2,No,2024
qi478h7,8,No responde/No sabe,2024
qi478h8_a,1,Si,2024
qi478h8_a,2,No,2024
qi478h8_a,8,No responde/No sabe,2024
qi478h8_b,1,Si,2024
qi478h8_b,2,No,2024
qi478h8_b,8,No responde/No sabe,2024
qi478h9,1,Si,2024
qi478h9,2,No,2024
qi478h9,8,No responde/No sabe,2024
qi478i1,1,Dibuja garabatos,2024
qi478i1,2,Dibuja círculos grandes o pequeños de manera desordenada,2024
qi478i1,3,"Dibuja la cabeza, los brazos y las piernas aunque no estén en su lugar",2024
qi478i1,4,"Dibuja la cabeza, el cuerpo, los brazos y las piernas aunque no estén en su lugar",2024
qi478i1,5,"La cabeza es más pequeña que el cuerpo, - los brazos y las piernas están en su lugar",2024
qi478i1,8,No responde/No sabe,2024
qi478i2,1,Si,2024
qi478i2,2,No,2024
qi478i2,8,No responde/No sabe,2024
qi478i3,1,Si,2024
qi478i3,2,No,2024
qi478i3,8,No responde/No sabe,2024
qi478i4_a,1,Si,2024
qi478i4_a,2,No,2024
qi478i4_a,8,No responde/No sabe,2024
qi478i4_b,1,Si,2024
qi478i4_b,2,No,2024
qi478i4_b,8,No responde/No sabe,2024
qi478i5,1,Si,2024
qi478i5,2,No,2024
qi478i5,8,No responde/No sabe,2024
qi478i6,1,Si espera tranquilamente,2024
qi478i6,2,No espera tranquilamente,2024
qi478i6,3,No espera,2024
qi478i6,8,No responde/No sabe,2024
qi478i7,1,Si,2024
qi478i7,2,No,2024
qi478i7,8,No responde/No sabe,2024
qi478i8,1,Ninguna,2024
qi478i8,2,De 1 a 3 veces,2024
qi478i8,3,De 4 a 6 veces,2024
qi478i8,4,Más de 6 veces,2024
qi478i8,8,No responde/No sabe,2024
qi478j1,1,Si,2024
qi478j1,2,No,2024
qi478j1,8,No responde/No sabe,2024
qi478j2,1,Si,2024
qi478j2,2,No,2024
qi478j2,8,No responde/No sabe,2024
qi478j3,1,Si,2024
qi478j3,2,No,2024
qi478j3,8,No responde/No sabe,2024
qi478j4_a,1,Si,2024
qi478j4_a,2,No,2024
qi478j4_a,8,No responde/No sabe,2024
qi478j4_b,1,Si,2024
qi478j4_b,2,No,2024
qi478j4_b,8,No responde/No sabe,2024
qi478j5,1,Si,2024
qi478j5,2,No,2024
qi478j5,8,No responde/No sabe,2024
qi478j6,1,Si espera tranquilamente,2024
qi478j6,2,Si espera pero no tranquilamente,2024
qi478j6,3,No espera,2024
qi478j6,8,No responde/No sabe,2024
qi478j7,1,Si,2024
qi478j7,2,No,2024
qi478j7,8,No responde/No sabe,2024
qi478j8,1,Ninguna,2024
qi478j8,2,De 1 a 3 veces,2024
qi478j8,3,De 4 a 6 veces,2024
qi478j8,4,Más de 6 veces,2024
qi478j8,8,No responde/No sabe,2024
qi479e_a,0,No,2024
qi479e_a,1,Si,2024
qi479e_b,0,No,2024
qi479e_b,1,Si,2024
qi479e_c,0,No,2024
qi479e_c,1,Si,2024
qi479e_d,0,No,2024
qi479e_d,1,Si,2024
qi479e_e,0,No,2024
qi479e_e,1,Si,2024
qi479e_f,0,No,2024
qi479e_f,1,Si,2024
qi479e_g,0,No,2024
qi479e_g,1,Si,2024
qi479e_h,0,No,2024
qi479e_h,1,Si,2024
qi479e_i,0,No,2024
qi479e_i,1,Si,2024
qi479e_j,0,No,2024
qi479e_j,1,Si,2024
qi479e_x,0,No,2024
qi479e_x,1,Si,2024
qi479e_y,0,No,2024
qi479e_y,1,Si,2024
qi479f_a,0,No,2024
qi479f_a,1,Si,2024
qi479f_b,0,No,2024
qi479f_b,1,Si,2024
qi479f_c,0,No,2024
qi479f_c,1,Si,2024
qi479f_d,0,No,2024
qi479f_d,1,Si,2024
qi479f_e,0,No,2024
qi479f_e,1,Si,2024
qi479f_f,0,No,2024
qi479f_f,1,Si,2024
qi479f_g,0,No,2024
qi479f_g,1,Si,2024
qi479f_h,0,No,2024
qi479f_h,1,Si,2024
qi479f_i,0,No,2024
qi479f_i,1,Si,2024
qi479f_j,0,No,2024
qi479f_j,1,Si,2024
qi479f_k,0,No,2024
qi479f_k,1,Si,2024
qi479f_l,0,No,2024
qi479f_l,1,Si,2024
qi479f_m,0,No,2024
qi479f_m,1,SI,2024
qi479f_x,0,No,2024
qi479f_x,1,Si,2024
qi479f_y,0,No,2024
qi479f_y,1,Si,2024
qi_ctrl_anio_01,9998,Año no puede ser identificado,2024
qi_ctrl_anio_02,9998,Año no puede ser identificado,2024
qi_ctrl_anio_03,9998,Año no puede ser identificado,2024
qi_ctrl_anio_04,9998,Año no puede ser identificado,2024
qi_ctrl_dia_01,0,No hay controles grabados,2024
qi_ctrl_dia_01,44,Marcado pero sin fecha,2024
qi_ctrl_dia_01,98,El día  no puede ser identificado,2024
qi_ctrl_dia_02,0,No hay controles grabados,2024
qi_ctrl_dia_02,44,Marcado pero sin fecha,2024
qi_ctrl_dia_02,98,El día  no puede ser identificado,2024
qi_ctrl_dia_03,0,No hay controles grabados,2024
qi_ctrl_dia_03,44,Marcado pero sin fecha,2024
qi_ctrl_dia_03,98,El día  no puede ser identificado,2024
qi_ctrl_dia_04,0,No hay controles grabados,2024
qi_ctrl_dia_04,44,Marcado pero sin fecha,2024
qi_ctrl_dia_04,98,El día  no puede ser identificado,2024
qi_ctrl_mes_01,98,El mes no puede ser identificado,2024
qi_ctrl_mes_02,98,El mes no puede ser identificado,2024
qi_ctrl_mes_03,98,El mes no puede ser identificado,2024
qi_ctrl_mes_04,98,El mes no puede ser identificado,2024
qi_ctrl_peso_01,9995,9995+,2019
qi_ctrl_peso_02,9995,9995+,2019
qi_ctrl_peso_03,9995,9995+,2019
qi_ctrl_peso_04,9995,9995+,2019
qs100,1,Si,2024
qs100,2,No,2024
qs100,8,No sabe/ no recuerda,2013
qs101,10,Hospital MINSA,2024
qs101,11,Hospital ESSALUD,2024
qs101,12,Hospital FFAA Y PNP,2024
qs101,13,Hospital/Otro Municipal,2024
qs101,14,Centro/Puesto del MINSA,2024
qs101,15,Policlinico/Posta de ESSALUD/UBAP,2024
qs101,20,Clínica/Consultorio Particular,2024
qs101,30,Clínica/Posta de ONG,2024
qs101,31,Hospital/Otra de Iglesia,2024
qs101,40,Campaña del MINSA,2024
qs101,41,Campaña de ESSALUD,2024
qs101,42,Otras Campañas,2024
qs101,96,Otro,2024
qs101,98,No sabe/No recuerda,2024
qs102,1,Si,2024
qs102,2,No,2024
qs102,8,No sabe/No recuerda,2024
qs103u,1,Meses ( < de 2 años),2024
qs103u,2,Años (de 2 ó más años),2024
qs103u,8,No sabe/No recuerda,2024
qs104,1,Si,2024
qs104,2,No,2024
qs104,8,No sabe/ no recuerda,2024
qs105,1,Con receta médica,2024
qs105,2,Sin receta médica,2024
qs105,8,No sabe/ no recuerda,2024
qs106,1,Si,2024
qs106,2,No,2024
qs106,8,No sabe/ no recuerda,2024
qs107,1,Si,2024
qs107,2,No,2024
qs107,8,No sabe/ no recuerda,2024
qs108,10,Hospital MINSA,2024
qs108,11,Hospital ESSALUD,2024
qs108,12,Hospital FFAA Y PNP,2024
qs108,13,Hospital / Otro Municipal,2024
qs108,14,Centro/Puesto del MINSA,2024
qs108,15,Policlinico/Posta de ESSALUD/UBAP,2024
qs108,20,Clínica/Consultorio Particular,2024
qs108,30,Clínica / Posta de ONG,2024
qs108,31,Hospital / Otra de Iglesia,2024
qs108,40,Campaña del MINSA,2024
qs108,41,Campaña de ESSALUD,2024
qs108,42,Otras Campañas,2024
qs108,96,Otro,2024
qs108,98,No sabe/No recuerda,2024
qs109,1,Si,2024
qs109,2,No,2024
qs109,8,No sabe/ no recuerda,2024
qs110u,1,Meses ( < de 2 años),2024
qs110u,2,Años (de 2 ó más años),2024
qs110u,8,No sabe/No recuerda,2024
qs111,1,Si,2024
qs111,2,No,2024
qs111,8,No sabe/ no recuerda,2024
qs112,1,Con receta médica,2024
qs112,2,Sin receta médica,2024
qs112,8,No sabe/ no recuerda,2024
qs113,1,Si,2024
qs113,2,No,2024
qs113,8,No sabe/ no recuerda,2024
qs200,1,Si,2024
qs200,2,No,2024
qs200,8,No sabe/ no recuerda,2024
qs201,1,Si,2024
qs201,2,No,2024
qs201,8,No sabe/ no recuerda,2024
qs202,1,Si,2024
qs202,2,No,2024
qs203u,1,Edad en años,2024
qs203u,8,No sabe/ no recuerda,2024
qs204u,1,Número de años,2024
qs204u,8,No sabe/ no recuerda,2024
qs205u,1,Número de cegarillos,2024
qs205u,8,No sabe/ no recuerda,2024
qs206,1,Si,2024
qs206,2,No,2024
qs206,8,No sabe/ no recuerda,2024
qs207u,1,Edad en años,2024
qs207u,8,No sabe/ no recuerda,2024
qs208,1,Si,2024
qs208,2,No,2024
qs208,8,No sabe/ no recuerda,2024
qs209,1,Si,2024
qs209,2,No,2024
qs209,8,No sabe/ no recuerda,2024
qs210,1,Si,2024
qs210,2,No,2024
qs210,8,No sabe/ no recuerda,2024
qs211u,1,Número de veces,2024
qs211u,8,No sabe/ no recuerda,2024
qs212a,1,Si,2024
qs212a,2,No,2024
qs212ab,98,No sabe/ no recuerda,2024
qs212av,98,No sabe/ no recuerda,2024
qs212b,1,Si,2024
qs212b,2,No,2024
qs212bb,98,No sabe,2024
qs212bv,98,No sabe,2024
qs212c,1,Si,2024
qs212c,2,No,2024
qs212cb,98,No sabe,2024
qs212cv,98,No sabe,2024
qs212d,1,Si,2024
qs212d,2,No,2024
qs212db,98,No sabe,2024
qs212dv,98,No sabe,2024
qs212e,1,Si,2024
qs212e,2,No,2024
qs212eb,98,No sabe,2024
qs212ev,98,No sabe,2024
qs212f,1,Si,2024
qs212f,2,No,2024
qs212fb,98,No sabe,2024
qs212fv,98,No sabe,2024
qs212g,1,Si,2024
qs212g,2,No,2024
qs212gb,98,No sabe,2024
qs212gv,98,No sabe,2024
qs212o,1,Si,2024
qs212o,2,No,2024
qs212t,A,CERVEZA,2024
qs212t,B,VINO/CACHINA/CHAMPAGNE,2024
qs212t,C,CHICA DE JORA FERMENTADA,2024
qs212t,D,MASATO FERMENTADO,2024
qs212t,E,YONQUE/CAÑAZO,2024
qs212t,F,ANISADO,2024
qs212t,G,WHISKY/PISCO/RON,2024
qs212t,X,OTRA,2024
qs212t,Y,NO SABE/NO RECUERDA,2024
qs212xb,98,No sabe,2024
qs212xv,98,No sabe,2024
qs212z,0,No sabe/No recuerda,2024
qs212z,1,Si sabe o recuerda,2024
qs212z,8,No sabe/no recuerda,2013
qs213u,1,Número de días,2024
qs213u,3,No comió,2024
qs213u,8,No sabe/No recuerda,2024
qs214c,0.5,0.5,2013
qs214c,1,1.0,2013
qs214c,1.5,1.5,2013
qs214c,2,2.0,2013
qs214c,2.5,2.5,2013
qs214c,3,3.0,2013
qs214c,3.5,3.5,2013
qs214c,4,4.0,2013
qs214c,4.5,4.5,2013
qs214c,9.9,No hay dato,2024
qs214u,1,Número Unidades/tajadas/racimos,2024
qs214u,2,Cinco o mas unidades,2013
qs214u,8,No sabe/No recuerda,2024
qs215u,1,Número de días,2024
qs215u,3,No tomó,2024
qs215u,8,No sabe/No recuerda,2024
qs216c,0.5,0.5,2013
qs216c,1,1.0,2013
qs216c,1.5,1.5,2013
qs216c,2,2.0,2013
qs216c,2.5,2.5,2013
qs216c,3,3.0,2013
qs216c,3.5,3.5,2013
qs216c,4,4.0,2013
qs216c,4.5,4.5,2013
qs216c,5,5.0,2013
qs216c,5.5,5.5,2013
qs216c,6,6.0,2013
qs216c,6.5,6.5,2013
qs216c,7,7.0,2013
qs216c,7.5,7.5,2013
qs216c,8,8.0,2013
qs216c,9.9,No hay dato,2024
qs216u,1,Número de vasos de jugo,2024
qs216u,8,No sabe/No recuerda,2024
qs217u,1,Número de días,2024
qs217u,3,No comió,2024
qs217u,8,No sabe/No recuerda,2024
qs218c,0.5,0.5,2013
qs218c,1,1.0,2013
qs218c,1.5,1.5,2013
qs218c,2,2.0,2013
qs218c,2.5,2.5,2013
qs218c,3,3.0,2013
qs218c,3.5,3.5,2013
qs218c,4,4.0,2013
qs218c,4.5,4.5,2013
qs218c,5,5.0,2013
qs218c,5.5,5.5,2013
qs218c,6,6.0,2013
qs218c,6.5,6.5,2013
qs218c,7,7.0,2013
qs218c,7.5,7.5,2013
qs218c,8,8.0,2013
