variable,code,year,was,canonical
ha13,4,2013,Refused,Rechazó
ha13,6,2013,Other,Otro
ha13,3,2013,Not present,No presente
ha13,0,2013,Measured,Medida
ha33,4,2013,Year,Año
ha33,6,2013,Age,Edad
ha33,7,2013,Month,Mes
ha33,2,2013,Month and age,Mes y edad
ha33,8,2013,None,Ninguno
ha33,3,2013,Year and age,Año y edad
ha33,1,2013,Month and year,Mes y año
ha35,0,2013,Doesn't smoke,No fuma
ha4,9998,2013,Flagged cases,Casos marcados
ha40,9998,2013,Flagged cases,Casos marcados
ha41,9998,2013,Flagged cases,Casos marcados
ha5,9998,2013,Flagged cases,Casos marcados
ha50,2,2013,Age 18 or older,De 18 a 49 años de edad
ha50,1,2013,Under age 18,De 12 a 17 años de edad
ha51,0,2013,Not in household,No es miembro del hogar
ha52,2,2013,Parent/Other responsible refused,"Padre/Otro responsable, rechazó"
ha52,1,2013,Granted,Aceptó
ha54,0,2013,No/don't know,No/No sé
ha54,1,2013,Yes,Si
ha55,4,2013,Refused,Rechazó
ha55,6,2013,Other,Otro
ha55,3,2013,Not present,No presente
ha55,0,2013,Measured,Medida
ha57,4,2013,Not anemic,Sin anemia
ha57,2,2013,Moderate,Moderado
ha57,3,2013,Mild,Leve
ha57,1,2013,Severe,Grave
ha58,1,2013,Yes,Si
ha6,99998,2013,Flagged cases,Casos marcados
ha60,2,2013,Other,Otro
ha60,1,2013,Never in union,Nunca en unión
ha61,4,2013,Sample not tested/lost/not eonugh DBS,Muestra no probada/perdida/no suficiente DBS
ha61,2,2013,Parent/Other responsible refused,Padre/Otro responsable rechazó
ha61,3,2013,Respondent refused,Entrevistada rechazó
ha61,1,2013,Granted,Aceptó
ha63,4,2013,Sample not tested/lost,Muestra no probada/perdida
ha63,5,2013,Not enough DBS to complete protocol,No hay suficiente DBS para completar el protocolo
ha63,6,2013,Other,Otro
ha63,2,2013,Not present,No presente
ha63,3,2013,Refused,Rechazo
ha63,1,2013,Blood taken,Muestra de sangre tomada
ha64,2,2013,Parent/Other responsible refused,Padres/Otro responsable rechazó
ha64,3,2013,Respondent refused,Entrevistada rechazó
ha64,1,2013,Granted,Aceptada
ha65,4,2013,Refused,Rechada
ha65,5,2013,Partly completed,Incompleta
ha65,6,2013,Incapacitated,Incapacitada
ha65,7,2013,Other,Otro
ha65,2,2013,Not at home,Ausente
ha65,3,2013,Postponed,Aplazada
ha65,1,2013,Completed,Completa
ha66,1,2013,Primary,Primaria
ha66,2,2013,Secondary,Secundaria
ha66,3,2013,Higher,Superior
ha66,0,2013,No education,Sin educación
ha66,8,2013,Don't know,No sabe
ha67,98,2013,Don't know,No sabe
ha68,1,2013,Primary,Primaria
ha68,2,2013,Secondary,Secundaria
ha68,3,2013,Higher,Superior
ha68,0,2013,No education,Sin educación
ha68,8,2013,Don't know,No sabe
hc10,9998,2013,Flagged cases,Casos marcados
hc11,9998,2013,Flagged cases,Casos marcados
hc13,4,2013,Refused,Rechazó
hc13,6,2013,Other,Otro
hc13,3,2013,Not present,No presente
hc13,0,2013,Measured,Medido
hc15,2,2013,Standing,De pie
hc15,1,2013,Lying,Acostado
hc27,2,2013,Female,Mujer
hc27,1,2013,Male,Hombre
hc30,97,2013,Inconsistent,Inconsistente
hc30,98,2013,DK,NS
hc31,9997,2013,Inconsistent,Inconsistente
hc31,9998,2013,DK,NS
hc33,4,2013,Year,Año
hc33,6,2013,Age,Edad
hc33,7,2013,Month,Mes
hc33,2,2013,Month and age,Mes y edad
hc33,8,2013,None,Ninguno
hc33,3,2013,Year and age,Año y edad
hc33,1,2013,Month and year,Mes y año
hc4,9998,2013,Flagged cases,Casos marcados
hc5,9998,2013,Flagged cases,Casos marcados
hc51,0,2013,Not in household,No en el hogar
hc52,2,2013,Refused,Rechazó/otro
hc52,1,2013,Granted,Aceptó
hc55,4,2013,Refused,Rechazó
hc55,6,2013,Other,Otro
hc55,3,2013,Not present,No presente
hc55,0,2013,Measured,Medido
hc57,4,2013,Not anemic,Sin anemia
hc57,2,2013,Moderate,Moderar
hc57,3,2013,Mild,Leve
hc57,1,2013,Severe,Grave
hc58,1,2013,Yes,Si
hc60,993,2013,Mother not de facto,Madre no de facto (MEF que no durmieron la noche anterior)
hc60,995,2013,Not in household,Madre no vive en el hogar
hc60,994,2013,Incomplete woman's interview,Entrevista incompleta de la MEF
hc61,2,2013,Secondary,Secundaria
hc61,3,2013,Higher,Superior
hc61,0,2013,No education,Sin educación
hc61,1,2013,Primary,Primaria
hc68,1,2013,Primary,Primaria
hc68,2,2013,Secondary,Secundaria
hc68,3,2013,Higher,Superior
hc68,0,2013,No education,Sin educación
hc68,8,2013,Don't know,No sabe
hc7,9998,2013,Flagged cases,Casos marcados
hc70,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hc70,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hc70,9998,2013,Flagged cases,Casos marcados
hc71,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hc71,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hc71,9998,2013,Flagged cases,Casos marcados
hc72,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hc72,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hc72,9998,2013,Flagged cases,Casos marcados
hc73,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hc73,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hc73,9998,2013,Flagged cases,Casos marcados
hc8,9998,2013,Flagged cases,Casos marcados
hml1,98,2013,Don't know,No sabe
hv015,4,2013,Postponed,Aplazada
hv015,5,2013,Refused,Rechazada
hv015,6,2013,Dwelling vacant,Vivienda desocupada o no es vivienda
hv015,7,2013,Dwelling destroyed,Vivienda destruida
hv015,2,2013,"HH present, no resp",Hogar presente pero entrevistado ausente
hv015,8,2013,Dwelling not found,Vivienda no encontrada
hv015,9,2013,Other,Otro
hv015,3,2013,HH absent,Hogar ausente
hv015,1,2013,Completed,Completo
hv020,0,2013,All woman sample,Muestra todas las mujeres
hv020,1,2013,Ever married sample,Muestra alguna vez casado
hv025,1,2013,Urban,Urbano
hv026,2,2013,Town,Pueblo
hv026,3,2013,Countryside,Campo
hv026,0,2013,"Capital, large city","Capital, gran ciudad"
hv026,1,2013,Small city,Pequeña ciudad
hv027,2,2013,Husband's survey,Encuesta del esposo
hv027,0,2013,Not selected,No seleccionado
hv027,1,2013,Men's survey,Encuesta de hombres
hv042,0,2013,Not selected,No seleccionado
hv042,1,2013,Selected,Seleccionado
hv043,0,2013,Household not selected,Hogar no seleccionado
hv043,1,2013,Household selected,Hogar seleccionado
hv044,0,2013,Household not selected,Hogar no seleccionado
hv044,1,2013,Household selected,Hogar seleccionado
hv101,5,2013,Grandchild,Nieto
hv101,6,2013,Parent,Padre
hv101,12,2013,Not related,Sin parentesco
hv101,11,2013,Adopted/foster child,Hijo adoptado
hv101,1,2013,Head,Jefe del Hogar
hv101,8,2013,Brother/sister,Hermano/Hermana
hv101,4,2013,Son/daughter-in-law,Yerno/Nuera
hv101,7,2013,Parent-in-law,Suegro
hv101,15,2013,Maid,Empleada doméstica
hv101,2,2013,Wife or husband,Esposa o esposo
hv101,3,2013,Son/daughter,Hijo/Hija
hv101,10,2013,Other relative,Otro pariente
hv102,1,2013,Yes,Sí
hv103,1,2013,Yes,Sí
hv104,2,2013,Female,Mujer
hv104,1,2013,Male,Hombre
hv105,97,2013,97+,Mayores de 96
hv105,98,2013,DK,No sabe
hv106,1,2013,Primary,Primario
hv106,2,2013,Secondary,Secundario
hv106,3,2013,Higher,Superior
hv106,0,2013,"No education, preschool","Sin educación, preescolar"
hv106,8,2013,DK,No sabe
hv107,98,2013,DK,No sabe
hv108,98,2013,DK,No sabe
hv109,4,2013,Complete secondary,Secundaria completa
hv109,5,2013,Higher,Superior
hv109,1,2013,Incomplete primary,Primaria incompleta
hv109,2,2013,Complete primary,Primaria completa
hv109,3,2013,Incomplete secondary,Secundaria incompleta
hv109,0,2013,No education,Sin educación
hv109,8,2013,DK,No sabe
hv110,1,2013,Yes,Sí
hv111,1,2013,Yes,Sí
hv111,8,2013,DK,No sabe
hv112,0,2013,Mother not in HH,Madre no en HH
hv113,1,2013,Yes,Sí
hv113,8,2013,DK,No sabe
hv114,0,2013,Father not in HH,Padre no en HH
hv115,4,2013,Divorced,Divorciado(a)
hv115,5,2013,Not living together,Separado(a)
hv115,2,2013,Living together,Conviviente
hv115,3,2013,Widowed,Viudo(a)
hv115,0,2013,Never married,Soltero(a)
hv115,1,2013,Married,Casado(a)
hv116,2,2013,Formerly/ever marr.,Anteriormente/alguna vez casado(a) o conviviendo
hv116,0,2013,Never married,Soltero(a)
hv116,1,2013,Currently married,Actualmente casado(a) o conviviendo
hv117,0,2013,Not eligible,No elegible
hv117,1,2013,Eligible,Elegible
hv118,0,2013,Not eligible,No elegible
hv118,1,2013,Eligible,Elegible
hv120,0,2013,Not eligible,No elegible
hv120,1,2013,Eligible,Elegible
hv121,1,2013,Currently attending,Actualmente asistiendo
hv122,1,2013,Primary,Primario
hv122,2,2013,Secondary,Secundario
hv122,3,2013,Higher,Superior
hv122,0,2013,"No education, preschool",Inicial/Pre-escolar
hv122,0,2019,"Sin educación, preescolar",Inicial/Pre-escolar
hv122,8,2013,DK,No sabe
hv123,98,2013,DK,No Sabe
hv124,97,2013,Inconsistent,Inconsistente
hv124,98,2013,DK,No Sabe
hv125,1,2013,Yes,Sí
hv126,1,2013,Primary,Primario
hv126,2,2013,Secondary,Secundario
hv126,3,2013,Higher,Superior
hv126,0,2013,"No education, preschool",Inicial/Pre-escolar
hv126,0,2019,"Sin educación, preescolar",Inicial/Pre-escolar
hv126,8,2013,DK,No sabe
hv127,98,2013,DK,NS
hv128,97,2013,Inconsistent,Inconsistente
hv128,98,2013,DK,No Sabe
hv129,4,2013,Dropout,Abandonó
hv129,4,2019,Abandonar,Abandonó
hv129,5,2013,Left school 2+ years ago,Dejo el colegio hace más de 2 años
hv129,5,2019,Izquierda escuela hace 2+ años,Dejo el colegio hace más de 2 años
hv129,1,2013,Entered school,Ingresado a la escuela
hv129,2,2013,Advanced,Avanzado
hv129,3,2013,Repeating,Repitiendo
hv129,0,2013,Never attended,Nunca asistió
hv129,8,2013,DK,No sabe
hv201,12,2013,Piped outside dwelling but within buikding,"Fuera de la vivienda, pero dentro del edificio"
hv201,21,2013,Well inside dwelling,Pozo en la vivineda/patio/lote
hv201,11,2013,Piped into dwelling,Dentro de la vivienda
hv201,51,2013,Rainwater,Agua de lluvia
hv201,96,2013,Other,Otro
hv201,71,2013,Bottled water,Agua embotellada
hv201,43,2013,River/dam/lake/ponds/stream/canal/irirgation channel,Río/acequia/laguna
hv201,13,2013,Public tap/standpipe,Pilón/Grifo público
hv201,22,2013,Public well,Pozo público
hv201,41,2013,Spring,Manantial (puquio)
hv201,61,2013,Tanker truck,Camión cisterna
hv202,12,2013,Piped outside dwelling but within buikding,"Fuera de la vivienda, pero dentro del edificio"
hv202,21,2013,Well inside dwelling,Pozo en la vivineda/patio/lote
hv202,11,2013,Piped into dwelling,Dentro de la vivienda
hv202,51,2013,Rainwater,Agua de lluvia
hv202,96,2013,Other,Otro
hv202,43,2013,River/dam/lake/ponds/stream/canal/irirgation channel,Río/acequia/laguna
hv202,13,2013,Public tap/standpipe,Pilón/Grifo público
hv202,22,2013,Public well,Pozo público
hv202,41,2013,Spring,Manantial (puquio)
hv202,61,2013,Tanker truck,Camión cisterna
hv204,996,2013,On premises,En las instalaciones
hv204,998,2013,DK,No sabe
hv205,24,2013,Latrine over river/lake,Latrina mejorada colgada/flotante
hv205,12,2013,Outside dwelling,"Fuera de la vivienda, pero dentro del edificio"
hv205,21,2013,Ventilated latrine,Letrina mejorada ventilada
hv205,11,2013,Inside dwelling,Dentro de la vivienda
hv205,96,2013,OTHER,Otro
hv205,23,2013,Latrine (ciego o negro),Latrina (pozo ciego o negro)
hv205,31,2013,"River, canal","Río, acequia o canal"
hv205,22,2013,Septic well,Pozo séptico
hv205,32,2013,No service,Sin servicio (matorral/campo)
hv206,1,2013,Yes,Si
hv207,1,2013,Yes,Si
hv208,1,2013,Yes,Si
hv209,1,2013,Yes,Si
hv210,1,2013,Yes,Si
hv211,1,2013,Yes,Si
hv212,1,2013,Yes,Si
hv213,21,2013,Wood,Madera
hv213,11,2013,Earth/sand,Tierra / arena
hv213,32,2013,Asphlat tiles/vynil,"Láminas asfálticas, vinílicos o similares"
hv213,96,2013,OTHER,Otro
hv213,33,2013,"Granite, ceramic tiles","Losetas, terrazos o similares"
hv213,31,2013,Parket,Parquet o madera pulida
hv213,34,2013,Cement/brick,Cemento / ladrillo
hv214,21,2013,Mud or mud bricks,Adobe o tapia
hv214,11,2013,Wood,Tablones/Madera
hv214,96,2013,OTHER,Otro
hv214,23,2013,Stone with mud,Piedra con barro
hv214,31,2013,Brick/cement blocks,Ladrillo o bloques de cemento
hv214,13,2013,Rustic mats,Caña/Bambu/Pona/Palma/Troncos/Tabique
hv214,22,2013,Bambu with mud,Quincha (caña con barro)
hv214,32,2013,Stone with cal or cement,Piedra o sillar con cal o cemento
hv214,41,2013,No walls,Sin paredes
hv214,33,2013,Compressed wood,Tripley
hv215,21,2013,Bambu with mud,Caña o estera en torta de barro
hv215,11,2013,Straw and palm leaves,"Paja, hojas de palmera etc."
hv215,96,2013,OTHER,Otro
hv215,31,2013,Concrete plaque,Concreto armado
hv215,34,2013,Plaque from different materials,"Plancha de calamina, fibra de cemento o similares"
hv215,32,2013,Wood,Madera
hv215,41,2013,With no roof,Sin techo
hv215,33,2013,Tiles,Tejas
hv217,4,2013,Three+ related adult,Tres o más adultos con algún grado de parentesco
hv217,5,2013,Unrelated adults,Adultos sin grado de parentesco
hv217,2,2013,"Two adults, opp. sex","Dos adultos, diferente sexo"
hv217,3,2013,"Two adults, same sex","Dos adultos, del mismo sexo"
hv217,1,2013,One adult,Un adulto
hv219,2,2013,Female,Femenino
hv219,1,2013,Male,Masculino
hv220,97,2013,97+,97y más
hv220,98,2013,DK,No Sabe
hv221,1,2013,Yes,Si
hv225,1,2013,Yes,Si
hv226,6,2013,"Coal, lignite",Carbón vegetal
hv226,11,2013,Animal dung,Bosta
hv226,95,2013,No food cooked in HH,No cocina
hv226,96,2013,Other,Otro
hv226,8,2013,Wood,Leña
hv226,1,2013,Electricity,Electricidad
hv226,7,2013,Charcoal,Carbón mineral
hv226,2,2013,LPG,GLP
hv226,9,2013,Straw / shrubs / grass,Caña/Arbustos secos
hv226,3,2013,Natural gas,Gas natural
hv226,10,2013,Agricultural crop,Residuos agrícolas
hv227,1,2013,Yes,Si
hv228,2,2013,Some children,Algunos niños
hv228,3,2013,No bednet in HH,No mosquitero en el hogar
hv228,1,2013,All children,Todos los niños
hv234,994,2013,Salt not tested,No se realizó la prueba
hv234,995,2013,No salt in household,No hay sal en el hogar
hv234,0,2013,0 PPM (No Iodine),0 PPM (sin yodo)
hv235,2,2013,In own yard/plot,En patio o parcela propia
hv235,3,2013,Elsewhere,Otro lugar
hv235,1,2013,In own dwelling,En vivienda propia
hv236,4,2013,Male child under 15 years old,Niños menores de 15 años
hv236,6,2013,Other,Otro
hv236,2,2013,Adult man,Hombre adulto
hv236,3,2013,Female child under 15 years old,Niño menor de 15 años
hv236,1,2013,Adult woman,Mujer adulta
hv237,1,2013,Yes,Si
hv237a,1,2013,Yes,Si
hv237b,1,2013,Yes,Si
hv237c,1,2013,Yes,Si
hv237d,1,2013,Yes,Si
hv237e,1,2013,Yes,Si
hv237f,1,2013,Yes,Si
hv237g,1,2013,Yes,Si
hv237h,1,2013,Yes,Si
hv237i,1,2013,Yes,Si
hv237j,1,2013,Yes,Si
hv237k,1,2013,Yes,Si
hv237x,1,2013,Yes,Si
hv237z,1,2013,Yes,Si
hv238,95,2013,10 or more households,10 o más hogares
hv238,98,2013,Don't know,No sabe
hv239,6,2013,Other,Otro
hv239,2,2013,Open stove,Estufa abierta
hv239,3,2013,Closed stove with chimney,Estufa cerrada con chimenea
hv239,1,2013,Open fire,Abran fuego
hv240,2,2013,Hood,capucha
hv240,0,2013,Neither chimney or hood,Ni chimenea ni campana
hv240,1,2013,Chimney,Tubo de lámpara
hv241,6,2013,Other,Otro
hv241,2,2013,In a separate building,En un edificio separado
hv241,3,2013,Outdoors,Al aire libre
hv241,1,2013,In the house,En la casa
hv242,1,2013,Yes,Si
hv243a,1,2013,Yes,Si
hv243b,1,2013,Yes,Si
hv243c,1,2013,Yes,Si
hv243d,1,2013,Yes,Si
hv244,1,2013,Yes,Si
hv245,96,2013,Area givien in other than hectares,Superficie que no sea hectárea
hv245,95,2013,More than 95,Más de 95
hv245,98,2013,Unknown,No sabe
hv246,1,2013,Yes,Si
hv246a,95,2013,More than 95,Más de 95
hv246a,0,2013,None,Ninguna
hv246a,98,2013,Unknown,Desconocido
hv246b,95,2013,More than 95,Más de 95
hv246b,0,2013,None,Ninguna
hv246b,98,2013,Unknown,Desconocido
hv246c,95,2013,More than 95,Más de 95
hv246c,0,2013,None,Ninguna
hv246c,98,2013,Unknown,Desconocido
hv246d,95,2013,More than 95,Más de 95
hv246d,0,2013,None,Ninguna
hv246d,98,2013,Unknown,Desconocido
hv246e,95,2013,More than 95,Más de 95
hv246e,0,2013,None,Ninguna
hv246e,98,2013,Unknown,Desconocido
hv246f,95,2013,More than 95,Más de 95
hv246f,0,2013,None,Ninguna
hv246f,98,2013,Unknown,Desconocido
hv246g,95,2013,More than 95,Más de 95
hv246g,0,2013,None,Ninguna
hv246g,98,2013,Unknown,Desconocido
hv246h,95,2013,More than 95,Más de 95
hv246h,0,2013,None,Ninguna
hv246h,98,2013,Unknown,Desconocido
hv246i,95,2013,More than 95,Más de 95
hv246i,0,2013,None,Ninguna
hv246i,98,2013,Unknown,Desconocido
hv246j,95,2013,More than 95,Más de 95
hv246j,0,2013,None,Ninguna
hv246j,98,2013,Unknown,Desconocido
hv246k,95,2013,More than 95,Más de 95
hv246k,0,2013,None,Ninguna
hv246k,98,2013,Unknown,Desconocido
hv247,1,2013,Yes,Si
hv249,1,2013,Yes,Si
hv249,8,2013,DK,No sabe
hv250,8,2013,DK,NS
hv270,4,2013,Richer,Rico
hv270,5,2013,Richest,Más rico
hv270,2,2013,Poorer,Pobre
hv270,3,2013,Middle,Medio
hv270,1,2013,Poorest,Los más pobres
hw10,9998,2013,Flagged cases,Casos marcados
hw11,9998,2013,Flagged cases,Casos marcados
hw12,99998,2013,Flagged cases,Casos marcados
hw13,4,2013,Refused,Rechazó
hw13,5,2013,Mother refused,Madre rechazó
hw13,6,2013,Other,Otro
hw13,7,2013,No measurement found in HH,Ninguna medida encontrada en HH
hw13,2,2013,Sick,Enfermo
hw13,3,2013,Not present,No presente
hw13,0,2013,Measured,Medido
hw13,1,2013,Dead,Muerto
hw15,2,2013,Standing,De pie
hw15,1,2013,Lying,Acostado
hw16,97,2013,Inconsistent,Inconsistente
hw16,98,2013,DK,No sabe
hw4,9998,2013,Flagged cases,Casos marcados
hw5,9998,2013,Flagged cases,Casos marcados
hw51,0,2013,Not in household,No en el hogar
hw52,2,2013,Refused,Rechazó/Otro
hw52,1,2013,Granted,Aceptó
hw55,4,2013,Refused,Rechazó
hw55,6,2013,Other,Otro
hw55,7,2013,No measurement found in HH,Ninguna medida encontrada en HH
hw55,3,2013,Not present,No presente
hw55,0,2013,Measured,Medido
hw55,1,2013,Dead,Muerto
hw57,4,2013,Not anemic,Sin anemia
hw57,2,2013,Moderate,Moderado
hw57,3,2013,Mild,Leve
hw57,1,2013,Severe,Grave
hw58,1,2013,Yes,Si
hw6,99998,2013,Flagged cases,Casos marcados
hw7,9998,2013,Flagged cases,Casos marcados
hw70,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hw70,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hw70,9998,2013,Flagged cases,Casos marcados
hw71,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hw71,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hw71,9998,2013,Flagged cases,Casos marcados
hw72,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hw72,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hw72,9998,2013,Flagged cases,Casos marcados
hw73,9997,2013,Age in days out of plausible limits,Edad en días fuera de límites plausibles
hw73,9996,2013,Height out of plausible limits,Altura fuera de los límites plausibles.
hw73,9998,2013,Flagged cases,Casos marcados
hw8,9998,2013,Flagged cases,Casos marcados
hw9,99998,2013,Flagged cases,Casos marcados
m1,7,2013,7+,7 ó más
m1,0,2013,Received no inject.,No Recibió
m1,8,2013,Don't know,No sabe
m10,2,2013,Later,Esperar más
m10,3,2013,No more,No quería más
m10,1,2013,Then,Entonces
m11,998,2013,DK,No sabe
m13,98,2013,DK,No sabe
m14,0,2013,No antenatal visits,Sin visitas prenatales
m14,98,2013,DK,No sabe
m15,24,2013,Health center MINSA,Centro de salud MINSA
m15,12,2013,Midwife's home,Casa de la partera
m15,11,2013,Respondents home,Su domicilio
m15,27,2013,Local Government,Hospital/otro de la Municipalidad
m15,96,2013,OTHER,Otro
m15,26,2013,Center/Post ESSALUD,Center/Posta ESSALUD
m15,25,2013,Health post MINSA,Puesto de salud MINSA
m15,31,2013,Private clinic,Clínica privada
m15,32,2013,Private doctor,Consultorio médico privado
m15,41,2013,Clinic/Post NGO,Clínica/Posta ONG
m15,42,2013,Church,Hospital/Otro de la Iglesia
m17,1,2013,Yes,Sí
m18,4,2013,Smaller than average,Pequeño
m18,5,2013,Very small,Muy pequeño
m18,1,2013,Very large,Muy grande
m18,2,2013,Larger than average,Grande
m18,3,2013,Average,Mediano (normal)
m18,8,2013,DK,No sabe
m19,9996,2013,Not weighed at birth,No se pesó al nacer
m19,9998,2013,DK,No sabe
m19a,1,2013,From card,De la tarjeta
m19a,2,2013,From recall,Lo que recuerda
m19a,9,2013,Special answers,Respuesta especial
m19a,0,2013,Not weighed,No se pesó
m19a,8,2013,DK,No sabe
m1a,7,2013,7+,7 ó más
m1a,0,2013,Received no inject.,No Recibió
m1a,8,2013,Don't know,No sabe
m1b,98,2013,Don't know month,No sabe el mes
m1c,9998,2013,Don't know year,No sabe año
m1d,98,2013,DK,No sabe
m1e,9996,2013,Can't be determined,No sabe puede determinar
m27,4,2013,During preg in cal.,Durante embarazo
m27,2,2013,> interval by 1 mnth,> intervalo en 1 mes
m27,3,2013,> age at death,> edad al morir
m27,0,2013,No flag,Sin bandera
m27,1,2013,> interval,> intervalo
m28,4,2013,During preg in cal.,Durante embarazo
m28,2,2013,> interval by 1 mnth,> intervalo en 1 mes
m28,0,2013,No flag,Sin bandera
m28,1,2013,> interval,> intervalo
m29,4,2013,During preg in cal.,Durante embarazo
m29,2,2013,> interval by 1 mnth,> intervalo en 1 mes
m29,0,2013,No flag,Sin bandera
m29,1,2013,> interval,> intervalo
m2a,1,2013,Yes,Sí
m2b,1,2013,Yes,Sí
m2c,1,2013,Yes,Sí
m2d,1,2013,Yes,Sí
m2e,1,2013,Yes,Sí
m2f,1,2013,Yes,Sí
m2g,1,2013,Yes,Sí
m2h,1,2013,Yes,Sí
m2i,1,2013,Yes,Sí
m2j,1,2013,Yes,Sí
m2k,1,2013,Yes,Sí
m2l,1,2013,Yes,Sí
m2m,1,2013,Yes,Sí
m2n,0,2013,No: some care,No
m2n,1,2013,Yes: no care,Sí
m34,201,2013,Days: 1,1 días: 1
m34,101,2013,Hours: 1,1 horas: 1
m34,0,2013,Immediately,Inmediatamente
m35,96,2013,On demand,Lo que demanda
m36,96,2013,On demand,Lo que demanda
m38,1,2013,Yes,Sí
m38,8,2013,DK,No sabe
m39,7,2013,7+,7 ó más
m39,0,2013,None,Ninguna
m39,8,2013,DK,No sabe
m3a,1,2013,Yes,Sí
m3b,1,2013,Yes,Sí
m3c,1,2013,Yes,Sí
m3d,1,2013,Yes,Sí
m3e,1,2013,Yes,Sí
m3f,1,2013,Yes,Sí
m3g,1,2013,Yes,Sí
m3h,1,2013,Yes,Sí
m3i,1,2013,Yes,Sí
m3j,1,2013,Yes,Sí
m3k,1,2013,Yes,Sí
m3l,1,2013,Yes,Sí
m3m,1,2013,Yes,Sí
m3n,0,2013,No: some assistance,No
m3n,1,2013,Yes: no assistance,Sí
m4,94,2013,Never breastfed,Nunca amamantó
m4,95,2013,Still breastfeeding,Aún amamantando
m4,98,2013,DK,No sabe
m42a,1,2013,Yes,Sí
m42b,1,2013,Yes,Sí
m42c,1,2013,Yes,Sí
m42d,1,2013,Yes,Sí
m42e,1,2013,Yes,Sí
m43,1,2013,Yes,Sí
m43,8,2013,Don't know,No sabe
m44,1,2013,Yes,Sí
m44,8,2013,Don't know,No sabe
m45,1,2013,Yes,Sí
m45,8,2013,Don't know,No sabe
m46,998,2013,Don't know,No sabe
m47,1,2013,Yes,Sí
m47,8,2013,Don't know,No sabe
m48,1,2013,Yes,Sí
m48,8,2013,Don't know,No sabe
m49a,1,2013,Yes,Sí
m49a,8,2013,Don't know,No sabe
m49b,1,2013,Yes,Sí
m49b,8,2013,Don't know,No sabe
m49c,1,2013,Yes,Sí
m49c,8,2013,Don't know,No sabe
m49d,1,2013,Yes,Sí
m49d,8,2013,Don't know,No sabe
m49e,1,2013,Yes,Sí
m49e,8,2013,Don't know,No sabe
m49f,1,2013,Yes,Sí
m49f,8,2013,Don't know,No sabe
m49g,1,2013,Yes,Sí
m49g,8,2013,Don't know,No sabe
m49x,1,2013,Yes,Sí
m49x,8,2013,Don't know,No sabe
m49z,1,2013,"Yes, took no drug",Sí
m49z,8,2013,Don't know,No sabe
m5,94,2013,Never breastfed,Nunca amamantó
m5,98,2013,DK,No sabe
m51a,201,2013,1 day,1 día
m51a,101,2013,1 hour,1 hora
m51a,998,2013,Don't know,No sabe
m51a,100,2013,Same hour,La misma hora
m51a,301,2013,1 week,1 semana
m51a,995,2013,Didn't have check-up,No tuve un chequeo
m54,1,2013,Yes,Sí
m55a,1,2013,Yes,Sí
m55a,8,2013,DK,No sabe
m55b,1,2013,Yes,Sí
m55b,8,2013,DK,No sabe
m55c,1,2013,Yes,Sí
m55c,8,2013,DK,No sabe
m55d,1,2013,Yes,Sí
m55d,8,2013,DK,No sabe
m55e,1,2013,Yes,Sí
m55e,8,2013,DK,No sabe
m55f,1,2013,Yes,Sí
m55f,8,2013,DK,No sabe
m55g,1,2013,Yes,Sí
m55g,8,2013,DK,No sabe
m55h,1,2013,Yes,Sí
m55h,8,2013,DK,No sabe
m55i,1,2013,Yes,Sí
m55i,8,2013,DK,No sabe
m55j,1,2013,Yes,Sí
m55j,8,2013,DK,No sabe
m55k,1,2013,Yes,Sí
m55k,8,2013,DK,No sabe
m55l,1,2013,Yes,Sí
m55l,8,2013,DK,No sabe
m55m,1,2013,Yes,Sí
m55m,8,2013,DK,No sabe
m55n,1,2013,Yes,Sí
m55n,8,2013,DK,No sabe
m55x,1,2013,Yes,Sí
m55x,8,2013,DK,No sabe
m55z,1,2013,"Yes, given nothing",Sí
m55z,8,2013,DK,No sabe
m57a,1,2013,Yes,Sí
m57b,1,2013,Yes,Sí
m57c,1,2013,Yes,Sí
m57d,1,2013,Yes,Sí
m57e,1,2013,Yes,Sí
m57f,1,2013,Yes,Sí
m57g,1,2013,Yes,Sí
m57h,1,2013,Yes,Sí
m57i,1,2013,Yes,Sí
m57j,1,2013,Yes,Sí
m57k,1,2013,Yes,Sí
m57l,1,2013,Yes,Sí
m57m,1,2013,Yes,Sí
m57n,1,2013,Yes,Sí
m57o,1,2013,Yes,Sí
m57p,1,2013,Yes,Sí
m57q,1,2013,Yes,Sí
m57r,1,2013,Yes,Sí
m57s,1,2013,Yes,Sí
