variable,code,year,was,canonical
d115j,8,2013,Didn't respond,No respondio
d115k,1,2013,Yes,Sí
d115k,8,2013,Didn't respond,No respondio
d115l,1,2013,Yes,Sí
d115l,8,2013,Didn't respond,No respondio
d115m,1,2013,Yes,Sí
d115m,8,2013,Didn't respond,No respondio
d115n,1,2013,Yes,Sí
d115n,8,2013,Didn't respond,No respondio
d115o,1,2013,Yes,Sí
d115o,8,2013,Didn't respond,No respondio
d115p,1,2013,Yes,Sí
d115p,8,2013,Didn't respond,No respondio
d115q,1,2013,Yes,Sí
d115q,8,2013,Didn't respond,No respondio
d115r,1,2013,Yes,Sí
d115r,8,2013,Didn't respond,No respondio
d115s,1,2013,Yes,Sí
d115s,8,2013,Didn't respond,No respondio
d115t,1,2013,Yes,Sí
d115t,8,2013,Didn't respond,No respondio
d115u,1,2013,Yes,Sí
d115u,8,2013,Didn't respond,No respondio
d115v,1,2013,Yes,Sí
d115v,8,2013,Didn't respond,No respondio
d115w,1,2013,Yes,Sí
d115w,8,2013,Didn't respond,No respondio
d115x,1,2013,Yes,Sí
d115x,8,2013,Didn't respond,No respondio
d115xa,1,2013,Yes,Sí
d115xa,8,2013,Didn't respond,No respondio
d115xb,1,2013,Yes,Sí
d115xb,8,2013,Didn't respond,No respondio
d115xc,1,2013,Yes,Sí
d115xc,8,2013,Didn't respond,No respondio
d115xd,1,2013,Yes,Sí
d115xd,8,2013,Didn't respond,No respondio
d115xe,1,2013,Yes,Sí
d115xe,8,2013,Didn't respond,No respondio
d115xf,1,2013,Yes,Sí
d115xf,8,2013,Didn't respond,No respondio
d115xg,1,2013,Yes,Sí
d115xg,8,2013,Didn't respond,No respondio
d115xh,1,2013,Yes,Sí
d115xh,8,2013,Didn't respond,No respondio
d115xi,1,2013,Yes,Sí
d115xi,8,2013,Didn't respond,No respondio
d115xj,1,2013,Yes,Sí
d115xj,8,2013,Didn't respond,No respondio
d115xk,1,2013,Yes,Sí
d115xk,8,2013,Didn't respond,No respondio
d115y,1,2013,No one ever physically hurt her,Nadie la lastimó físicamente
d115y,0,2013,Someone physically hurt her,Alguien la lastimó físicamente
d115y,8,2013,Didn't respond,No respondio
d116,17,2013,"Male friend, acquaintance",Amigo/conocido
d116,5,2013,Sister,Hermana
d116,19,2013,Employer,Empleador(a)
d116,96,2013,Other,Otra
d116,1,2013,Mother,Madre
d116,8,2013,Son,Hijo
d116,4,2013,Step father,Padrastro
d116,20,2013,Stranger,Extraño(a)
d116,7,2013,Daughter,Hija
d116,16,2013,"Female friend, acquaintance",Amiga/conocida
d116,18,2013,Teacher,Maestro(a)/Profesor(a)
d116,10,2013,Mother-in-law,Suegra
d116,6,2013,Brother,Hermano
d116,12,2013,Other female in-law,Otro familiar femenino del esposo
d116,11,2013,Father-in-law,Suegro
d116,14,2013,Other female relative,Otro pariente femenino
d116,13,2013,Other male in-law,Otro familiar masculino del esposo
d116,15,2013,Other male relative,Otro pariente masculino
d116,2,2013,Father,Padre
d116,9,2013,Former partner,Ex-esposo/ex-compañero
d116,3,2013,Step mother,Madrastra
d117a,2,2013,Sometimes,Algunas veces
d117a,0,2013,Not at all,De ningún modo
d117a,1,2013,Often,A menudo
d118a,1,2013,Yes,Si
d118b,1,2013,Yes,Si
d118c,1,2013,Yes,Si
d118d,1,2013,Yes,Si
d118e,1,2013,Yes,Si
d118f,1,2013,Yes,Si
d118g,1,2013,Yes,Si
d118h,1,2013,Yes,Si
d118i,1,2013,Yes,Si
d118j,1,2013,Yes,Si
d118k,1,2013,Yes,Si
d118l,1,2013,Yes,Si
d118m,1,2013,Yes,Si
d118n,1,2013,Yes,Si
d118o,1,2013,Yes,Si
d118p,1,2013,Yes,Si
d118q,1,2013,Yes,Si
d118r,1,2013,Yes,Si
d118s,1,2013,Yes,Si
d118t,1,2013,Yes,Si
d118u,1,2013,Yes,Si
d118v,1,2013,Yes,Si
d118w,1,2013,Yes,Si
d118x,1,2013,Yes,Si
d118xa,1,2013,Yes,Si
d118xb,1,2013,Yes,Si
d118xc,1,2013,Yes,Si
d118xd,1,2013,Yes,Si
d118xe,1,2013,Yes,Si
d118xf,1,2013,Yes,Si
d118xg,1,2013,Yes,Si
d118xh,1,2013,Yes,Si
d118xi,1,2013,Yes,Si
d118xj,1,2013,Yes,Si
d118xk,1,2013,Yes,Si
d118y,0,2013,Someone hurt her during preganacy,Alguien la lastimó durante la gestación
d118y,1,2013,No one hurt her during preganacy,Nadie la lastimó durante la gestación
d119a,1,2013,Yes,Si
d119b,1,2013,Yes,Si
d119c,1,2013,Yes,Si
d119d,1,2013,Yes,Si
d119e,1,2013,Yes,Si
d119f,1,2013,Yes,Si
d119g,1,2013,Yes,Si
d119h,1,2013,Yes,Si
d119i,1,2013,Yes,Si
d119j,1,2013,Yes,Si
d119k,1,2013,Yes,Si
d119l,1,2013,Yes,Si
d119m,1,2013,Yes,Si
d119n,1,2013,Yes,Si
d119o,1,2013,Yes,Si
d119p,1,2013,Yes,Si
d119q,1,2013,Yes,Si
d119r,1,2013,Yes,Si
d119s,1,2013,Yes,Si
d119t,1,2013,Yes,Si
d119u,1,2013,Yes,Si
d119v,1,2013,Yes,Si
d119w,1,2013,Yes,Si
d119x,1,2013,Yes,Si
d119xa,1,2013,Yes,Si
d119xb,1,2013,Yes,Si
d119xc,1,2013,Yes,Si
d119xd,1,2013,Yes,Si
d119xe,1,2013,Yes,Si
d119xf,1,2013,Yes,Si
d119xg,1,2013,Yes,Si
d119xh,1,2013,Yes,Si
d119xi,1,2013,Yes,Si
d119xj,1,2013,Yes,Si
d119xk,1,2013,Yes,Si
d119y,0,2013,Sought help from someone,Buscó ayuda de alguien
d119y,1,2013,No help was sought,No buscó ayuda
d120,5,2013,Afraid of divorce,Miedo al divorcio/separación
d120,6,2013,Afraid of further beating,Miedo a que le pegara de neuvo a ella o a sus hijas e hijos
d120,96,2013,Other,Otro
d120,8,2013,Embarrassed,Vergüenza
d120,1,2013,Don't know where to go,No sabe donde ir/no conoce servicios
d120,4,2013,It is part of life,Es parte de la vida
d120,7,2013,Afraid of getting the person in trouble,Miedo de causarle un problema a la persona que le pego
d120,2,2013,It was not necessary,No era necesario
d120,9,2013,It was her fault,Ella tenía la culpa
d120,3,2013,It is of no use,No sirve de nada
d121,1,2013,Yes,Sí
d121,8,2013,DK,No sabe
d122a,2,2013,"Yes, more than once",Si mas de una vez
d122a,1,2013,"Yes, once","Si, una vez"
d122b,2,2013,"Yes, more than once",Si mas de una vez
d122b,1,2013,"Yes, once","Si, una vez"
d122c,2,2013,"Yes, more than once",Si mas de una vez
d122c,1,2013,"Yes, once","Si, una vez"
d123,2,2013,Forced to,Forzado a
d123,3,2013,Refused to answer / no response,Se negó a responder/no respondió
d123,1,2013,Wanted to,Quería
d124,6,2013,Refused to answer / no response,Se negó a responder/no respondió
d124,1,2013,Yes,Sí
d125,3,2013,Refused to answer / no response,Se negó a responder/no respondió
d125,1,2013,Yes,Sí
d126,98,2013,Don't know,No sabe
d127,5,2013,Step father,Padrastro
d127,6,2013,Other relative,Otro pariente
d127,12,2013,Police / soldier,Policía/soldado
d127,11,2013,Employer / someone at work,Empleador/alguien en el trabajo
d127,14,2013,Stranger,Desconocido
d127,96,2013,Other,Otro
d127,1,2013,Current husband / partner,Esposo actual/pareja
d127,8,2013,Own friend / acquaintance,Propio amigo/conocido
d127,4,2013,Father,Padre
d127,7,2013,In-law,Consuegro
d127,13,2013,Priest / religious leader,Sacerdote/líder religioso
d127,2,2013,Former husband / partner,Ex marido/pareja
d127,9,2013,Family friend,Amigo de la familia
d127,3,2013,Current / former boyfriend,Actual/ex novio
d127,10,2013,Teacher,Profesor
d128,1,2013,Yes,Si
h0,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h0,2,2013,Reported by mother,Reportado por la madre
h0,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h0,8,2013,DK,No sabe
h0d,97,2013,Inconsistent,Inconsistente
h0d,98,2013,DK,No sabe
h0m,97,2013,Inconsistent,Inconsistente
h0m,98,2013,DK,No sabe
h0y,9997,2013,Inconsistent,Inconsistente
h0y,9998,2013,DK,No sabe
h1,2,2013,"Yes, not seen","Sí, no vista"
h1,3,2013,No longer has card,Ya no tiene tarjeta
h1,0,2013,No card,Sin tarjeta
h1,1,2013,"Yes, seen","Sí, vista"
h10,1,2013,Yes,"Sí, las últimas 24 horas"
h10,8,2013,Don't know,No sabe
h11,1,2013,"Yes, last 24 hours","Sí, las últimas 24 horas"
h11,2,2013,"Yes, last two weeks","Sí, las últimas dos semanas"
h11,8,2013,Don't know,No sabe
h11b,1,2013,Yes,Si
h11b,8,2013,Don't know,No sabe
h12a,1,2013,Yes,Si
h12b,1,2013,Yes,Si
h12c,1,2013,Yes,Si
h12d,1,2013,Yes,Si
h12e,1,2013,Yes,Si
h12f,1,2013,Yes,Si
h12g,1,2013,Yes,Si
h12h,1,2013,Yes,Si
h12i,1,2013,Yes,Si
h12j,1,2013,Yes,Si
h12k,1,2013,Yes,Si
h12l,1,2013,Yes,Si
h12m,1,2013,Yes,Si
h12n,1,2013,Yes,Si
h12o,1,2013,Yes,Si
h12p,1,2013,Yes,Si
h12q,1,2013,Yes,Si
h12r,1,2013,Yes,Si
h12s,1,2013,Yes,Si
h12t,1,2013,Yes,Si
h12u,1,2013,Yes,Si
h12v,1,2013,Yes,Si
h12w,1,2013,Yes,Si
h12x,1,2013,Yes,Si
h12y,0,2013,No: received treatm.,Si recibió tratamiento
h12y,1,2013,Yes: no treatment,No recibió tratamiento
h12z,1,2013,Yes,Si
h13,1,2013,Yes: ORS - spontan.,1 Sí: SRO - espontáneo
h13,2,2013,Yes: ORS - probed,2 Sí: SRO - sondeó
h13,8,2013,Don't know,8 No sabe
h13b,1,2013,Yes,Si
h13b,8,2013,Don't know,No sabe
h14,1,2013,Yes: RHS - spontan.,1 Sí: RHS - espontáneo
h14,2,2013,Yes: RHS - probed,2 Sí: RHS - sondeó
h14,8,2013,Don't know,8 No sabe
h15,1,2013,Yes,Si
h15,8,2013,Don't know,No sabe
h15a,1,2013,Yes,Si
h15a,8,2013,Don't know,No sabe
h15b,1,2013,Yes,Si
h15b,8,2013,Don't know,No sabe
h15c,1,2013,Yes,Si
h15c,8,2013,Don't know,No sabe
h15d,1,2013,Yes,Si
h15d,8,2013,Don't know,No sabe
h15e,1,2013,Yes,Si
h15e,8,2013,Don't know,No sabe
h15f,1,2013,Yes,Si
h15f,8,2013,Don't know,No sabe
h15g,1,2013,Yes,Si
h15g,8,2013,Don't know,No sabe
h15h,1,2013,Yes,Si
h15h,8,2013,Don't know,No sabe
h15i,1,2013,Yes,Si
h15i,8,2013,Don't know,No sabe
h15j,1,2013,Yes,Si
h15j,8,2013,Don't know,No sabe
h15k,1,2013,Yes,Si
h15k,8,2013,Don't know,No sabe
h15l,1,2013,Yes,Si
h15l,8,2013,Don't know,No sabe
h15m,1,2013,Yes,Si
h15m,8,2013,Don't know,No sabe
h2,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h2,2,2013,Reported by mother,Reportado por la madre
h2,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h2,8,2013,DK,No sabe
h20,1,2013,Yes,Si
h21,1,2013,Yes,Si
h21a,1,2013,Yes: no treatment,No recibió tratamiento
h21a,0,2013,No: received treatm.,Si recibió tratamiento
h21a,8,2013,DK,No sabe
h22,1,2013,Yes,Si
h22,8,2013,DK,No sabe
h2d,97,2013,Inconsistent,Inconsistente
h2d,98,2013,DK,No sabe
h2m,97,2013,Inconsistent,Inconsistente
h2m,98,2013,DK,No sabe
h2y,9997,2013,Inconsistent,Inconsistente
h2y,9998,2013,DK,No sabe
h3,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h3,2,2013,Reported by mother,Reportado por la madre
h3,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h3,8,2013,DK,No sabe
h31,1,2013,"Yes, last 24 hours","Sí, las últimas 24 horas"
h31,2,2013,"Yes, last two weeks","Sí, las últimas dos semanas"
h31,8,2013,Don't know,No sabe
h31b,1,2013,Yes,Si
h31b,8,2013,DK,No sabe
h31c,6,2013,Other,Otro
h31c,1,2013,Chest only,Solo pecho
h31c,2,2013,Nose only,Solo nariz
h31c,3,2013,Both,Ambos
h31c,8,2013,Don't know,No sabe
h31d,4,2013,About the same,La misma cantidad
h31d,5,2013,More,Más
h31d,2,2013,Much less,Mucho menos
h31d,3,2013,Somewhat less,Algo menos
h31d,0,2013,Nothing to drink,Nada para beber
h31d,8,2013,Don't know,No sabe
h31e,4,2013,About the same,La misma cantidad
h31e,5,2013,More,Más
h31e,1,2013,Never gave food,Nunca dio comida
h31e,2,2013,Much less,Mucho menos
h31e,3,2013,Somewhat less,Algo menos
h31e,0,2013,Stopped food,Nada de comer
h31e,8,2013,Don't know,No sabe
h32a,1,2013,Yes,Si
h32b,1,2013,Yes,Si
h32c,1,2013,Yes,Si
h32d,1,2013,Yes,Si
h32e,1,2013,Yes,Si
h32f,1,2013,Yes,Si
h32g,1,2013,Yes,Si
h32h,1,2013,Yes,Si
h32i,1,2013,Yes,Si
h32j,1,2013,Yes,Si
h32k,1,2013,Yes,Si
h32l,1,2013,Yes,Si
h32m,1,2013,Yes,Si
h32n,1,2013,Yes,Si
h32o,1,2013,Yes,Si
h32p,1,2013,Yes,Si
h32q,1,2013,Yes,Si
h32r,1,2013,Yes,Si
h32s,1,2013,Yes,Si
h32t,1,2013,Yes,Si
h32u,1,2013,Yes,Si
h32v,1,2013,Yes,Si
h32w,1,2013,Yes,Si
h32x,1,2013,Yes,Si
h32y,0,2013,No: received treatm.,Si recibió tratamiento
h32y,1,2013,Yes: no treatment,No recibió tratamiento
h32z,1,2013,Yes,Si
h33,1,2013,Vacc. date on card,Fecha de vacuna en tarjeta
h33,2,2013,Reported by mother,Reportado por la madre
h33,3,2013,Vacc. marked on card,Vacuna señalada en tarjeta
h33,8,2013,DK,No sabe
h33d,97,2013,Inconsistent,Inconsistente
h33d,98,2013,DK,No sabe
h33m,97,2013,Inconsistent,Inconsistente
h33m,98,2013,DK,No sabe
h33y,9997,2013,Inconsistent,Inconsistente
h33y,9998,2013,DK,No sabe
h34,1,2013,Yes,Si
h34,8,2013,Don't know,No sabe
h35,1,2013,Yes,Si
h35,8,2013,Don't know,No sabe
h36a,1,2013,Yes,Si
h36a,8,2013,DK,No sabe
h36b,1,2013,Yes,Si
h36b,8,2013,DK,No sabe
h36c,1,2013,Yes,Si
h36c,8,2013,DK,No sabe
h36d,1,2013,Yes,Si
h36d,8,2013,DK,No sabe
