module,column,verdict,reason,years,ref_year
01,dominio,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,estrato,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,estrsocial,VERIFIED_MAPPING,,2,2015
01,nbi1,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,nbi2,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,nbi3,UNRESOLVED_MAPPING,"years without value labels: [2012, 2015, 2017, 2018, 2019, 2021, 2022, 2023]",22,
01,nbi4,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,nbi5,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p101,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p101a,VERIFIED_MAPPING,,3,2006
01,p102,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p103,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p103a,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p104b1,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p104b2,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p105a,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p106a,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",22,
01,p106b,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p107,UNRESOLVED_MAPPING,years without value labels: [2006],3,
01,p107a11,VERIFIED_MAPPING,,5,2011
01,p107a14,UNRESOLVED_MAPPING,"years without value labels: [2007, 2009, 2010, 2011]; observed codes without labels: {2008: [0]}",5,
01,p107a21,UNRESOLVED_MAPPING,"observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1]}",5,
01,p107a24,UNRESOLVED_MAPPING,"years without value labels: [2007, 2009, 2010, 2011]; observed codes without labels: {2008: [0]}",5,
01,p107a31,UNRESOLVED_MAPPING,"observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1]}",5,
01,p107a34,UNRESOLVED_MAPPING,"years without value labels: [2007, 2009, 2010, 2011]; observed codes without labels: {2008: [0]}",5,
01,p107a41,UNRESOLVED_MAPPING,"observed codes without labels: {2007: [1], 2008: [1], 2009: [1], 2010: [1], 2011: [1]}",5,
01,p107b1,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p107b2,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p107b3,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p107b4,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023]",14,
01,p107c11,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0]}",14,
01,p107c110,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0]}",9,
01,p107c12,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0]}",14,
01,p107c13,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0, 3]}",14,
01,p107c14,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0, 4]}",14,
01,p107c15,VERIFIED_MAPPING,,4,2015
01,p107c16,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0, 6]}",14,
01,p107c17,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0, 7]}",14,
01,p107c18,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0]}",11,
01,p107c19,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0, 9]}",10,
01,p107c21,UNRESOLVED_MAPPING,"years without value labels: [2017, 2018, 2019, 2021, 2022, 2023, 2025]; observed codes without labels: {2024: [0]}",14,
