module,column,year,code,resolved,dta
24,estrato,2016,1,De 500 000 a más habitantes., de 500 000 a más habitantes
24,estrato,2016,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
24,estrato,2016,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
24,estrato,2016,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
24,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
24,estrato,2016,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
24,estrato,2017,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
24,estrato,2017,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
24,estrato,2017,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
24,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
24,estrato,2017,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
24,estrato,2018,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
24,estrato,2018,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
24,estrato,2018,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
24,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
24,estrato,2018,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
24,estrato,2019,1,De 500 000 a más habitantes., de 500 000 a más habitantes
24,estrato,2019,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
24,estrato,2019,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
24,estrato,2019,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
24,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
24,estrato,2019,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
25,estrato,2016,1,De 500 000 a más habitantes., de 500 000 a más habitantes
25,estrato,2016,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
25,estrato,2016,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
25,estrato,2016,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
25,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
25,estrato,2016,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
25,estrato,2017,1,De 500 000 a más habitantes., de 500 000 a más habitantes
25,estrato,2017,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
25,estrato,2017,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
25,estrato,2017,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
25,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
25,estrato,2017,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
25,estrato,2018,1,De 500 000 a más habitantes., de 500 000 a más habitantes
25,estrato,2018,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
25,estrato,2018,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
25,estrato,2018,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
25,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
25,estrato,2018,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
25,estrato,2019,1,De 500 000 a más habitantes., de 500 000 a más habitantes
25,estrato,2019,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
25,estrato,2019,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
25,estrato,2019,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
25,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
25,estrato,2019,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
26,estrato,2016,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
26,estrato,2016,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
26,estrato,2016,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
26,estrato,2016,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
26,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
26,estrato,2016,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
26,estrato,2017,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
26,estrato,2017,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
26,estrato,2017,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
26,estrato,2017,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
26,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
26,estrato,2017,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
26,estrato,2018,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
26,estrato,2018,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
26,estrato,2018,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
26,estrato,2018,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
26,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
26,estrato,2018,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
26,estrato,2019,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
26,estrato,2019,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
26,estrato,2019,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
26,estrato,2019,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
26,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
26,estrato,2019,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
27,estrato,2016,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
27,estrato,2016,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
27,estrato,2016,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
27,estrato,2016,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
27,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
27,estrato,2016,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
27,estrato,2017,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
27,estrato,2017,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
27,estrato,2017,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
27,estrato,2017,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
27,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
27,estrato,2017,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
27,estrato,2018,1,De 500 000 a más habitantes.,"de 500,000 a más habitantes"
27,estrato,2018,2,De 100 000 a 499 999 habitantes.,"de 100,000 a 499,999 habitantes"
27,estrato,2018,3,De 50 000 a 99 999 habitantes.,"de 50,000 a 99,999 habitantes"
27,estrato,2018,4,De 20 000 a 49 999 habitantes.,"de 20,000 a 49,999 habitantes"
27,estrato,2018,5,De 2 000 a 19 999 habitantes.,"de 2,000 a 19,999 habitantes"
27,estrato,2018,6,De 500 a 1 999 habitantes.,"de 500 a 1,999 habitantes"
27,estrato,2019,1,De 500 000 a más habitantes.,"de 500,000 a más habitantes"
27,estrato,2019,2,De 100 000 a 499 999 habitantes.,"de 100,000 a 499,999 habitantes"
27,estrato,2019,3,De 50 000 a 99 999 habitantes.,"de 50,000 a 99,999 habitantes"
27,estrato,2019,4,De 20 000 a 49 999 habitantes.,"de 20,000 a 49,999 habitantes"
27,estrato,2019,5,De 2 000 a 19 999 habitantes.,"de 2,000 a 19,999 habitantes"
27,estrato,2019,6,De 500 a 1 999 habitantes.,"de 500 a 1,999 habitantes"
27,estrato,2021,1,De 500 000 a más habitantes,"de 500,000 a más habitantes"
27,estrato,2021,2,De 100 000 a 499 999 habitantes,"de 100,000 a 499,999 habitantes"
27,estrato,2021,3,De 50 000 a 99 999 habitantes,"de 50,000 a 99,999 habitantes"
27,estrato,2021,4,De 20 000 a 49 999 habitantes,"de 20,000 a 49,999 habitantes"
27,estrato,2021,5,De 2 000 a 19 999 habitantes,"de 2,000 a 19,999 habitantes"
27,estrato,2021,6,De 500 a 1 999 habitantes,"de 500 a 1,999 habitantes"
27,estrato,2022,1,De 500 000 a más habitantes,"de 500,000 a más habitantes"
27,estrato,2022,2,De 100 000 a 499 999 habitantes,"de 100,000 a 499,999 habitantes"
27,estrato,2022,3,De 50 000 a 99 999 habitantes,"de 50,000 a 99,999 habitantes"
27,estrato,2022,4,De 20 000 a 49 999 habitantes,"de 20,000 a 49,999 habitantes"
27,estrato,2022,5,De 2 000 a 19 999 habitantes,"de 2,000 a 19,999 habitantes"
27,estrato,2022,6,De 500 a 1 999 habitantes,"de 500 a 1,999 habitantes"
28,estrato,2016,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
28,estrato,2016,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
28,estrato,2016,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
28,estrato,2016,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
28,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
28,estrato,2016,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
28,estrato,2017,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
28,estrato,2017,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
