code,module,label
847,76,Nacional EPEN Trim. Ene-Feb-Mar 2023
849,76,Nacional EPEN Trim. Abr-May-Jun 2023
851,76,Trim_Jun_Jul_Ago23
853,76,Trim_Jul_Ago_Set23
855,76,Nacional EPEN Trim. Ene-Feb-Mar 2022
857,76,Nacional EPEN Trim. Abr-May-Jun 2022
859,76,Nacional EPEN Trim. Jul-Ago-Set 2022
861,76,Nacional EPEN Trim. Oct-Nov-Dic 2022
863,76,Nacional EPEN Trim. Jul-Ago-Set 2023
865,76,Trim_Ago_Set_Oct23
866,76,Trim_Set_Oct_Nov23
869,76,Trim_Oct_Nov_Dic23
870,76,Trim_Nov_Dic_Ene24
871,76,Nacional EPEN Trim. Oct-Nov-Dic 2023
873,76,EPEN BD Ciudades Anual 2023
874,76,EPEN 2023 BD_Publicación Dpto
875,76,01 Amazonas EPEN Anual 2023
876,76,02 Ancash EPEN Anual 2023
877,76,03 Apurímac EPEN ANUAL 2023
878,76,04 Arequipa EPEN Anual 2023
879,76,05 Ayacucho EPEN Anual 2023
880,76,06 Cajamarca EPEN Anual 2023
881,76,08 Cusco EPEN Anual 2023
882,76,09 Huancavelica EPEN Anual 2023
883,76,10 Huánuco EPEN ANUAL 2023
884,76,11 Ica EPEN ANUAL 2023
885,76,12 Junín EPEN ANUAL 2023
886,76,13 La Libertad EPEN ANUAL 2023
887,76,14 Lambayeque EPEN ANUAL 2023
888,76,15 Lima EPEN ANUAL 2023
889,76,16 Loreto EPEN ANUAL 2023
890,76,17 Madre de Dios EPEN ANUAL 2023
891,76,18 Moquegua EPEN ANUAL 2023
892,76,19 Pasco EPEN ANUAL 2023
893,76,20 Piura EPEN ANUAL 2023
894,76,21 Puno EPEN ANUAL 2023
895,76,22 San Martin EPEN ANUAL 2023
896,76,23 Tacna EPEN ANUAL 2023
897,76,24 Tumbes EPEN ANUAL 2023
898,76,25 Ucayali EPEN ANUAL 2023
900,76,Trim_Dic_Ene_Feb24
904,76,Trim_Ene_Feb_Mar24
907,76,Nacional EPEN Trim. Ene-Feb-Mar 2024
909,76,Trim_Feb_Mar_Abr24
911,76,Trim_Mar_Abr_May24
915,76,Trim_Abr_May_Jun24
916,76,Trim_May_Jun_Jul24
917,76,Nacional EPEN Trim. Abr-May-Jun 2024
919,76,Trim_Jun_Jul_Ago24
921,76,Trim_Jul_Ago_Set24
923,76,Nacional EPEN Trim. Jul-Ago-Set 2024
925,76,Trim_Ago_Set_Oct24
927,76,Trim_Set_Oct_Nov24
929,76,Trim_Oct_Nov_Dic24
931,76,Nacional EPEN Trim. Oct-Nov-Dic 2024
933,76,EPEN BD Ciudades Anual 2024
935,76,EPEN 2024 BD_Publicacion Dpto
936,76,01 Amazonas EPEN Anual 2024
937,76,02 Ancash EPEN Anual 2024
938,76,03 Apurimac EPEN Anual 2024
939,76,04 Arequipa EPEN Anual 2024
940,76,05 Ayacucho EPEN Anual 2024
941,76,06 Cajamarca EPEN Anual 2024
942,76,08 Cusco EPEN Anual 2024
943,76,09 Huancavelica EPEN Anual 2024
944,76,10 Huanuco EPEN Anual 2024
945,76,11 Ica EPEN Anual 2024
946,76,12 Junin EPEN Anual 2024
947,76,13 La Libertad EPEN Anual 2024
948,76,14 Lambayeque EPEN Anual 2024
949,76,15 Lima EPEN Anual 2024
950,76,16 Loreto EPEN Anual 2024
951,76,17 Madre de Dios EPEN Anual 2024
952,76,18 Moquegua EPEN Anual 2024
953,76,19 Pasco EPEN Anual 2024
954,76,20 Piura EPEN Anual 2024
955,76,21 Puno EPEN Anual 2024
956,76,22 San Martin EPEN Anual 2024
957,76,23 Tacna EPEN Anual 2024
958,76,24 Tumbes EPEN Anual 2024
959,76,25 Ucayali EPEN Anual 2024
960,76,Trim_Nov_Dic24_Ene25
961,76,Trim_Dic24_Ene_Feb25
964,76,Trim_Ene_Feb_Mar25
967,76,Trim_Feb_Mar_Abr25
969,76,Nacional EPEN Trim. Ene-Feb-Mar 2025
972,76,Trim_Mar_Abr_May25
977,76,Trim_Abr_May_Jun25
978,76,Trim_May_Jun_Jul25
979,76,Trim_May_Jun_Jul25
980,76,Nacional EPEN Trim. Abr-May-Jun 2025
982,76,Trim_Jun_Jul_Ago25
986,76,Trim_Jul_Ago_Set25
989,76,Trim_Ago_Set_Oct25
990,76,Nacional EPEN Trim. Jul-Ago-Set 2025
994,76,Trim_Set_Oct_Nov25
995,76,Trim Oct-Nov-Dic25
996,76,Trim Nov-Dic-Ene26
997,76,Nacional EPEN Trim. Oct-Nov-Dic 2025
999,76,EPEN BD Ciudades Anual 2025
1001,76,EPEN 2025 BD_Publicacion Dpto
1002,76,01 Amazonas EPEN Anual 2025
1003,76,02 Ancash EPEN Anual 2025
1004,76,03 Apurimac EPEN Anual 2025
1005,76,04 Arequipa EPEN Anual 2025
1006,76,05 Ayacucho EPEN Anual 2025
1007,76,06 Cajamarca EPEN Anual 2025
1008,76,08 Cusco EPEN Anual 2025
1009,76,09 Huancavelica EPEN Anual 2025
1010,76,10 Huanuco EPEN Anual 2025
1011,76,11 Ica EPEN Anual 2025
1012,76,12 Junin EPEN Anual 2025
1013,76,13 La Libertad EPEN Anual 2025
1014,76,14 Lambayeque EPEN Anual 2025
1015,76,15 Lima EPEN Anual 2025
1016,76,16 Loreto EPEN Anual 2025
1017,76,17 Madre de Dios EPEN Anual 2025
1018,76,18 Moquegua EPEN Anual 2025
1019,76,19 Pasco EPEN Anual 2025
1020,76,20 Piura EPEN Anual 2025
1021,76,21 Puno EPEN Anual 2025
1022,76,22 San Martin EPEN Anual 2025
1023,76,23 Tacna EPEN Anual 2025
1024,76,24 Tumbes EPEN Anual 2025
1025,76,25 Ucayali EPEN Anual 2025
1027,76,Trim Dic-Ene-Feb26
1029,76,Trim Ene-Feb-Mar26
1033,76,Trim Feb-Mar-Abr26
1034,76,Nacional EPEN Trim. Ene-Feb-Mar 2026
1037,76,Trim Mar-Abr-May26
